"11122","VALORES EMITIDOS POR EL SIST. FINANCIERO V.RAZONAB",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"1113","VALORES EMITIDOS POR EMPRESAS",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"11131","VALORES EMITIDOS POR EMPRESAS COSTO",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"11132","VALORES EMITIDOS POR EMPRESAS VALOR RAZONABLE",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"1114","OTROS TITULOS REPRESENTATIVOS DE DEUDA",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"11141","OTROS TITULOS REPRESENTATIVOS DEUDA COSTO",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"11142","OTROS TITULOS REPRESENTATIVOS DEUDA V.RAZONABLE",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"1115","PARTICIPACIONES EN ENTIDADES",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"11151","PARTICIPACIONES EN ENTIDADES COSTO",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"11152","PARTICIPACIONES EN ENTIDADES VALOR RAZONABLE",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"112","INVERSIONES DISPONIBLES PARA LA VENTA",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"1121","VALORES EMITIDOS O GARANTIZADOS POR EL ESTADO",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"11211","VALORES EMITIDOS O GARANT. POR EL ESTADO COSTO",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"11212","VALORES EMITIDOS O GARANT. POR EL ESTADO V.RAZONAB",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"1122","VALORES EMITIDOS POR EL SISTEMA FINANCIERO",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"11221","VALORES EMITIDOS POR EL SIST.FINANCIERO COSTO",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"11222","VALORES EMITIDOS POR EL SIST.FINANCIERO V.RAZONABL",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"1123","VALORES EMITIDOS POR EMPRESAS",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"11231","VALORES EMITIDOS POR EMPRESAS COSTO",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"11232","VALORES EMITIDOS POR EMPRESAS V.RAZONABLE",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"1124","OTROS TITULOS REPRESENTATIVOS DE DEUDA",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"11241","OTROS TITULOS REPRESENTATIVOS DEUDA COSTO",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"11242","OTROS TITULOS REPRESENTATIVOS DEUDA V.RAZONABLE",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
"113","ACTIVOS FINANCIEROS - ACUERDO DE COMPRA",,,,0.00,,,,,,,"X",,,,,,,,,"V",26/11/2013 00:00:00,"03:57:","SIST",,,,,,,,,,,
